,N,d,algo,time
72,100,5,pymoo,0.0003025531768798828
73,100,5,nmoo,0.0018055438995361328
74,100,5,pymoo,0.0003108978271484375
75,100,5,nmoo,0.0014324188232421875
76,100,5,pymoo,0.0003020763397216797
77,100,5,nmoo,0.0022437572479248047
78,100,5,pymoo,0.0003027915954589844
79,100,5,nmoo,0.0020418167114257812
80,100,6,pymoo,0.0003147125244140625
81,100,6,nmoo,0.003095865249633789
82,100,6,pymoo,0.0003104209899902344
83,100,6,nmoo,0.0031251907348632812
84,100,6,pymoo,0.0003020763397216797
85,100,6,nmoo,0.002862691879272461
86,100,6,pymoo,0.0003046989440917969
87,100,6,nmoo,0.0023517608642578125
88,100,6,pymoo,0.000301361083984375
89,100,6,nmoo,0.0029861927032470703
90,100,6,pymoo,0.00030875205993652344
91,100,6,nmoo,0.0025298595428466797
92,100,6,pymoo,0.00030040740966796875
93,100,6,nmoo,0.0027675628662109375
94,100,6,pymoo,0.0003101825714111328
95,100,6,nmoo,0.0026187896728515625
96,100,6,pymoo,0.0003027915954589844
97,100,6,nmoo,0.0030837059020996094
98,100,6,pymoo,0.0003139972686767578
99,100,6,nmoo,0.0030024051666259766
100,100,7,pymoo,0.0003027915954589844
101,100,7,nmoo,0.003234386444091797
102,100,7,pymoo,0.0003025531768798828
103,100,7,nmoo,0.0036683082580566406
104,100,7,pymoo,0.00030541419982910156
105,100,7,nmoo,0.0037703514099121094
106,100,7,pymoo,0.00030875205993652344
107,100,7,nmoo,0.003057241439819336
108,100,7,pymoo,0.0003056526184082031
109,100,7,nmoo,0.0032889842987060547
110,100,7,pymoo,0.0003037452697753906
111,100,7,nmoo,0.0031042098999023438
112,100,7,pymoo,0.0003001689910888672
113,100,7,nmoo,0.003961801528930664
114,100,7,pymoo,0.0003039836883544922
115,100,7,nmoo,0.003553628921508789
116,100,7,pymoo,0.00030159950256347656
117,100,7,nmoo,0.0039215087890625
118,100,7,pymoo,0.0003044605255126953
119,100,7,nmoo,0.004011869430541992
120,500,2,pymoo,0.002848386764526367
121,500,2,nmoo,0.0003008842468261719
122,500,2,pymoo,0.002660512924194336
123,500,2,nmoo,0.0003037452697753906
124,500,2,pymoo,0.0025641918182373047
125,500,2,nmoo,0.0003008842468261719
126,500,2,pymoo,0.0025415420532226562
127,500,2,nmoo,0.00029468536376953125
128,500,2,pymoo,0.0024979114532470703
129,500,2,nmoo,0.00029850006103515625
130,500,2,pymoo,0.0025527477264404297
131,500,2,nmoo,0.0002989768981933594
132,500,2,pymoo,0.0025420188903808594
133,500,2,nmoo,0.00030112266540527344
134,500,2,pymoo,0.002527952194213867
135,500,2,nmoo,0.0003020763397216797
136,500,2,pymoo,0.0025260448455810547
137,500,2,nmoo,0.0002994537353515625
138,500,2,pymoo,0.0025086402893066406
139,500,2,nmoo,0.0003020763397216797
140,500,3,pymoo,0.002698659896850586
141,500,3,nmoo,0.0026845932006835938
142,500,3,pymoo,0.0027303695678710938
143,500,3,nmoo,0.0031821727752685547
144,500,3,pymoo,0.002725839614868164
145,500,3,nmoo,0.0033669471740722656
146,500,3,pymoo,0.0027036666870117188
147,500,3,nmoo,0.0031359195709228516
148,500,3,pymoo,0.0026824474334716797
149,500,3,nmoo,0.0019495487213134766
150,500,3,pymoo,0.0026984214782714844
151,500,3,nmoo,0.0029397010803222656
152,500,3,pymoo,0.0026824474334716797
153,500,3,nmoo,0.003456592559814453
154,500,3,pymoo,0.0027561187744140625
155,500,3,nmoo,0.004143238067626953
156,500,3,pymoo,0.002718210220336914
157,500,3,nmoo,0.003517627716064453
158,500,3,pymoo,0.0027627944946289062
159,500,3,nmoo,0.0030059814453125
160,500,4,pymoo,0.0027418136596679688
161,500,4,nmoo,0.006697893142700195
162,500,4,pymoo,0.0028083324432373047
163,500,4,nmoo,0.006873369216918945
164,500,4,pymoo,0.0027768611907958984
