,N,d,algo,mem
785,100000,5,pymoo,40142.03515625
786,100000,5,nmoo,39719.65625
787,100000,5,pymoo,40147.296875
788,100000,5,nmoo,39719.90625
789,100000,5,pymoo,40144.16015625
790,100000,5,nmoo,39720.15625
791,100000,5,pymoo,40138.109375
792,100000,5,nmoo,39720.40625
793,100000,5,pymoo,40143.97265625
794,100000,5,nmoo,39720.65625
795,100000,5,pymoo,40162.77734375
796,100000,5,nmoo,39720.90625
797,100000,5,pymoo,40149.703125
798,100000,5,nmoo,39721.15625
799,100000,5,pymoo,40154.3515625
800,100000,6,nmoo,39721.40625
801,100000,6,pymoo,39721.40625
802,100000,6,nmoo,39721.65625
803,100000,6,pymoo,39721.65625
804,100000,6,nmoo,39721.90625
805,100000,6,pymoo,39721.90625
806,100000,6,nmoo,39722.15625
807,100000,6,pymoo,39722.15625
808,100000,6,nmoo,39722.40625
809,100000,6,pymoo,39722.40625
810,100000,6,nmoo,39722.65625
811,100000,6,pymoo,39722.65625
812,100000,6,nmoo,39722.91015625
813,100000,6,pymoo,39722.91015625
814,100000,6,nmoo,39723.16015625
815,100000,6,pymoo,39723.16015625
816,100000,6,nmoo,39723.41015625
817,100000,6,pymoo,39723.41015625
818,100000,6,nmoo,39723.66015625
819,100000,6,pymoo,39723.66015625
820,100000,7,nmoo,39723.91015625
821,100000,7,pymoo,39723.91015625
822,100000,7,nmoo,39724.16015625
823,100000,7,pymoo,39724.16015625
824,100000,7,nmoo,39724.41015625
825,100000,7,pymoo,39724.41015625
826,100000,7,nmoo,39724.66015625
827,100000,7,pymoo,39724.66015625
828,100000,7,nmoo,39724.91796875
829,100000,7,pymoo,39724.91796875
830,100000,7,nmoo,39725.16796875
831,100000,7,pymoo,39725.16796875
832,100000,7,nmoo,39725.41796875
833,100000,7,pymoo,39725.41796875
834,100000,7,nmoo,39725.66796875
835,100000,7,pymoo,39725.66796875
836,100000,7,nmoo,39725.91796875
837,100000,7,pymoo,39725.91796875
838,100000,7,nmoo,39726.16796875
839,100000,7,pymoo,39726.16796875
