,N,d,algorithm,memory,time
1235,100000,7,fast_non_dominated_sort,39155.9453125,87.01538133621216
1236,100000,7,nmoo,39155.9453125,91.77253460884094
1237,100000,7,efficient_non_dominated_sort,39155.9453125,11.455529928207397
1238,100000,7,fast_non_dominated_sort,39155.9453125,86.8151478767395
1239,100000,7,nmoo,39155.9453125,96.58345580101013
1240,100000,7,efficient_non_dominated_sort,39155.9453125,11.67826771736145
1241,100000,7,fast_non_dominated_sort,39155.9453125,86.99846363067627
1242,100000,7,nmoo,39155.9453125,105.10862851142883
1243,100000,7,efficient_non_dominated_sort,39155.9453125,11.786841630935669
1244,100000,7,fast_non_dominated_sort,39155.9453125,86.94839692115784
1245,100000,7,nmoo,39155.9453125,96.65940690040588
1246,100000,7,efficient_non_dominated_sort,39157.99609375,11.950939655303955
1247,100000,7,fast_non_dominated_sort,39155.9453125,86.96156477928162
1248,100000,7,nmoo,39155.9453125,90.91891837120056
1249,100000,7,efficient_non_dominated_sort,39155.9453125,11.68716311454773
1250,100000,7,fast_non_dominated_sort,39155.9453125,86.8805639743805
1251,100000,7,nmoo,39155.9453125,94.64530515670776
1252,100000,7,efficient_non_dominated_sort,39155.9453125,12.572115421295166
1253,100000,7,fast_non_dominated_sort,39155.9453125,86.95319414138794
1254,100000,7,nmoo,39155.9453125,103.87231421470642
1255,100000,7,efficient_non_dominated_sort,39155.9453125,11.630822658538818
1256,100000,7,fast_non_dominated_sort,39155.9453125,86.92481589317322
1257,100000,7,nmoo,39155.9453125,99.55319666862488
1258,100000,7,efficient_non_dominated_sort,39155.9453125,11.638893604278564
1259,100000,7,fast_non_dominated_sort,39157.8671875,87.10151672363281
